name,category,severity,priority,risk_score,base_severity,cvss_component,exploitability,class_modifier,exposure_score,compliance_score,category_weight,finding_class,state,resource_name,resource_display_name,project_id,project_display_name,cve_id,cvss_score,observed_in_wild,zero_day,public_ip,compliance_frameworks,compliance_violations,event_time,create_time,description,remediation_script_lang,remediation_script
,,LOW,LOW,32.32,10,26.40,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2022-28391,8.8,false,false,false,,,,,,,
,,LOW,LOW,32.32,10,26.40,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2026-23950,8.8,false,false,false,,,,,,,
,,LOW,LOW,32.32,10,26.40,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2021-30560,8.8,false,false,false,,,,,,,
,,LOW,LOW,32.32,10,26.40,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2022-28391,8.8,false,false,false,,,,,,,
,,LOW,LOW,32.32,10,26.40,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2021-3518,8.8,false,false,false,,,,,,,
,,LOW,LOW,31.84,10,25.80,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-4674,8.6,false,false,false,,,,,,,
,,LOW,LOW,31.84,10,25.80,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-61732,8.6,false,false,false,,,,,,,
,,LOW,LOW,31.84,10,25.80,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-4674,8.6,false,false,false,,,,,,,
,,LOW,LOW,31.84,10,25.80,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-4674,8.6,false,false,false,,,,,,,
,,LOW,LOW,31.84,10,25.80,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-61732,8.6,false,false,false,,,,,,,
,,LOW,LOW,31.84,10,25.80,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-4674,8.6,false,false,false,,,,,,,
,,LOW,LOW,31.84,10,25.80,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-61732,8.6,false,false,false,,,,,,,
,,LOW,LOW,31.84,10,25.80,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-61732,8.6,false,false,false,,,,,,,
,,LOW,LOW,31.84,10,25.80,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-61732,8.6,false,false,false,,,,,,,
,,LOW,LOW,31.84,10,25.80,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-61732,8.6,false,false,false,,,,,,,
,,LOW,LOW,31.84,10,25.80,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-61732,8.6,false,false,false,,,,,,,
,,LOW,LOW,31.84,10,25.80,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-4674,8.6,false,false,false,,,,,,,
,,LOW,LOW,31.84,10,25.80,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-61732,8.6,false,false,false,,,,,,,
,,LOW,LOW,31.84,10,25.80,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-4674,8.6,false,false,false,,,,,,,
,,LOW,LOW,31.84,10,25.80,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-61732,8.6,false,false,false,,,,,,,
,,LOW,LOW,31.84,10,25.80,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-61732,8.6,false,false,false,,,,,,,
,,LOW,LOW,31.84,10,25.80,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-61732,8.6,false,false,false,,,,,,,
,,LOW,LOW,31.84,10,25.80,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-61732,8.6,false,false,false,,,,,,,
,,LOW,LOW,31.84,10,25.80,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-61732,8.6,false,false,false,,,,,,,
,,LOW,LOW,31.84,10,25.80,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-61732,8.6,false,false,false,,,,,,,
,,LOW,LOW,31.84,10,25.80,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-61732,8.6,false,false,false,,,,,,,
,,LOW,LOW,31.84,10,25.80,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-4674,8.6,false,false,false,,,,,,,
,,LOW,LOW,31.84,10,25.80,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-61732,8.6,false,false,false,,,,,,,
,,LOW,LOW,31.84,10,25.80,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-61732,8.6,false,false,false,,,,,,,
,,LOW,LOW,31.84,10,25.80,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-61732,8.6,false,false,false,,,,,,,
,,LOW,LOW,31.84,10,25.80,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-61732,8.6,false,false,false,,,,,,,
,,LOW,LOW,31.84,10,25.80,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-61732,8.6,false,false,false,,,,,,,
,,LOW,LOW,31.84,10,25.80,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-61732,8.6,false,false,false,,,,,,,
,,LOW,LOW,31.84,10,25.80,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-61732,8.6,false,false,false,,,,,,,
,,LOW,LOW,31.84,10,25.80,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-61732,8.6,false,false,false,,,,,,,
,,LOW,LOW,31.84,10,25.80,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-4674,8.6,false,false,false,,,,,,,
